chapter,profile,kind,what,note,closeable
23,Backend engineer,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
23,Backend engineer,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
23,Data engineer,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
23,Data engineer,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
23,DevOps / site reliability engineer,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
23,DevOps / site reliability engineer,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
23,Machine learning engineer,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
23,Machine learning engineer,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
23,Security generalist,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
23,Security generalist,snapshot,entry time,"How long entry actually takes. This figure was carried at grade 2 against a survey that does not contain it, which made security look like the one baseline role with a measured entry time. It is not. No statistics office, survey or research body measures this for any role in this chapter.",
24,Entry-level data analyst,dimension,pay,"No grade 3 analyst-specific pay data located, in any region.",
24,Entry-level data analyst,snapshot,entry time,"How long entry actually takes. No source measures it for this career. Three near misses are worth knowing. Poland's graduate register and Italy's graduate survey both publish months to a first job for computing GRADUATES, which is a field of study and not a role. Audited bootcamps report placement at 90, 180 and 360 days, for a small set of schools. Everything else counts who is employed on a fixed date, which is a rate and not a duration. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
24,Generalist frontend / web development,dimension,pay,No role-specific pay figure at grade 3 or better exists for this role. This profile prints the general US senior developer rate as a market reference. It carries a dagger and does not count towards this book's pay bar.,
24,Generalist frontend / web development,snapshot,entry time,"How long entry actually takes. No source measures it for this career. Three near misses are worth knowing. Poland's graduate register and Italy's graduate survey both publish months to a first job for computing GRADUATES, which is a field of study and not a role. Audited bootcamps report placement at 90, 180 and 360 days, for a small set of schools. Everything else counts who is employed on a fixed date, which is a rate and not a duration. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
24,IT support / helpdesk,dimension,pay,No grade 3 support-specific pay data located.,
24,Junior UX / UX research,dimension,pay,No grade 3 UX-specific pay data located in any region.,
24,Manual QA / software tester,dimension,pay,No grade 3 QA-specific pay data located in any region.,
24,Manual QA / software tester,snapshot,entry time,"How long entry actually takes. No source measures it for this career. Three near misses are worth knowing. Poland's graduate register and Italy's graduate survey both publish months to a first job for computing GRADUATES, which is a field of study and not a role. Audited bootcamps report placement at 90, 180 and 360 days, for a small set of schools. Everything else counts who is employed on a fixed date, which is a rate and not a duration. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Epic healthcare IT analyst,dimension,pay,"No pay figure for this role reaches grade 3. Every figure below for what a hospital analyst earns is aggregator data, which Chapter 5 grades 4. The one grade-3 figure here covers Epic Systems' own staff in Wisconsin, who are a different job, and it is marked. The pay rise after certification is measured, but a rise is not a level: it tells you the direction and not the number. So the shape of this market is well understood here and the amounts are not.",
25,Mainframe / COBOL developer,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,"SAP S/4HANA (ABAP, Basis, functional)",snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,"Security specialisations (appsec, SOC, incident response, GRC)",dimension,pay,No grade 3 security-specialisation pay data located in any region. A significant gap given how often this career is recommended.,
25,Automotive functional safety and embedded platforms,dimension,entry pathway,No grade 1 to 3 measurement of entry time was located.,
25,Automotive functional safety and embedded platforms,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Core banking and payments engineering,dimension,entry pathway,No grade 1 to 3 measurement of time to entry exists. The 24 to 48 month figure in the snapshot is inferred from posting requirements.,
25,Core banking and payments engineering,dimension,pay,"Only aggregator data was located, and it keyword-matches postings rather than measuring a role. No grade 3 pay source found in any region.",
25,Core banking and payments engineering,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Defence and aerospace software,dimension,entry pathway,Clearance processing times are quoted widely and published rarely. No grade 1 or 2 figure for time to a first cleared role was located.,
25,Defence and aerospace software,dimension,pay,"The best available source is a cleared jobs board reporting its own members. That population already holds clearances, so it cannot separate the clearance from the seniority of the people who have one.",
25,Defence and aerospace software,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Government and public sector IT,dimension,entry pathway,"Individual agencies publish their own hiring timelines, so grade 1 data exists in hundreds of places and nowhere in one place. This book has not compiled it. Check your own government's published process, which is the point of Chapter 8.",
25,Government and public sector IT,dimension,pay,"Published pay scales exist and are grade 1, but they are national and this book has not yet compiled them. The aggregate figures below mix three different employers.",
25,Government and public sector IT,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Industrial automation and OT security,dimension,entry pathway,No grade 1 to 3 measurement of entry time was located.,
25,Industrial automation and OT security,dimension,pay,"Aggregators only, and they contradict each other by more than the salary of an entrant. Certification premiums come from training publishers, which is grade 5 in motive.",
25,Industrial automation and OT security,snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Insurance core systems (Guidewire and Duck Creek),dimension,entry pathway,No grade 1 to 3 source measures how long entry takes. The snapshot figure is inference from job requirements.,
25,Insurance core systems (Guidewire and Duck Creek),snapshot,entry time,"How long entry actually takes. No statistics office, survey or research body measures it. The figure shown is inferred and is below this book's grade 2 bar for entry time.",
25,Medical device software,dimension,entry pathway,No grade 1 to 3 measurement of entry time was located.,
25,Medical device software,dimension,pay,"The hardest gap in this chapter. No pay figure specific to medical device software was located at any grade, in any region. Appendix B records this as an open research task rather than a finding.",
